feature,importance
waiting_days,0.6572081274419058
age,0.08271850422322262
neighbourhood,0.0797004828166894
sms_received,0.06769476847855381
scheduled_hour,0.051516979019946445
appointment_weekday,0.0268187707789768
gender,0.011268334261816455
hypertension,0.008784091204348574
scholarship,0.007175500117391435
diabetes,0.002735955481650181
alcoholism,0.002323479562962484
handicap,0.0020550066125357806
